as_of_date,sku,asin,product_title,fulfillment_center,on_hand_units,reserved_units,inbound_units,unfulfillable_units,reorder_point,lead_time_days,last_restock_date
2026-08-01,SKU-0001,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,DFW6,13,1,0,0,6,42,2026-07-13
2026-08-01,SKU-0002,B0MVKP1792,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,ONT8,9,1,0,0,5,28,2026-06-05
2026-08-01,SKU-0003,B0NL5Q5CZM,EverPeak USB-C Hub — Water Resistant & HD 1080p,MDW2,0,1,9,0,8,42,2026-07-26
2026-08-01,SKU-0004,B0ANDXF98K,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,PHX7,0,2,19,2,10,60,2026-07-04
2026-08-01,SKU-0005,B055PLDLF8,BrightBeam Webcam — Compact Design & 30H Battery Life,CLT2,13,1,0,0,5,14,2026-06-13
2026-08-01,SKU-0006,B08H6XVAML,EverPeak Gaming Mouse — RGB Backlit & Compact Design,ONT8,0,1,18,2,8,42,2026-06-27
2026-08-01,SKU-0007,B088K2QTZJ,AuroraTech Car Mount — Bluetooth 5.3 & RGB Backlit,ONT8,0,1,12,1,9,35,2026-05-22
2026-08-01,SKU-0008,B06AZNEH47,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,MDW2,4,0,5,0,5,60,2026-07-05
2026-08-01,SKU-0009,B0H9GJQWK8,EverPeak Phone Case — Noise Cancelling & Bluetooth 5.3,MDW2,1,0,4,1,5,28,2026-07-13
2026-08-01,SKU-0010,B0M2QT36J4,AuroraTech Portable Charger — Fast Charging & HD 1080p,JAX3,4,0,3,0,5,60,2026-05-03
2026-08-01,SKU-0011,B0YXU5G7D1,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,LGB8,-3,1,0,5,7,28,2026-05-14
2026-08-01,SKU-0012,B0671R2A1G,EverPeak Laptop Stand — Water Resistant & 30H Battery Life,DFW6,3,0,3,0,5,21,2026-07-08
2026-08-01,SKU-0013,B0K12NKA8N,AuroraTech Smart Watch — 30H Battery Life & Bluetooth 5.3,LGB8,2,0,6,0,5,35,2026-05-27
2026-08-01,SKU-0014,B0279XVVC5,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,MEM1,-1,1,0,1,8,60,2026-05-17
2026-08-01,SKU-0015,B0WR597BPU,EverPeak Streaming Stick — Bluetooth 5.3 & HD 1080p,ONT8,8,1,0,3,10,35,2026-06-26
2026-08-01,SKU-0016,B08RJE02WW,AuroraTech Headphones — Bluetooth 5.3 & Water Resistant,ONT8,4,0,7,0,5,35,2026-07-19
2026-08-01,SKU-0017,B0CPNCKVZR,BrightBeam Wireless Earbuds — 30H Battery Life & Noise Cancelling,PHX7,1,0,0,0,0,14,2026-06-01
2026-08-01,SKU-0018,B0Q85PD1G6,EverPeak Power Bank — 30H Battery Life & Noise Cancelling,MDW2,7,1,0,0,5,60,2026-07-23
2026-08-01,SKU-0019,B0W61EHTPX,Nordic Home Serving Bowls — Dishwasher Safe & Easy Clean,MDW2,2,0,0,0,0,21,2026-07-11
2026-08-01,SKU-0020,B0DDA4EXPW,UrbanKitchen Knife Set — Easy Clean & BPA-Free,MDW2,0,0,6,1,5,14,2026-07-06
2026-08-01,SKU-0021,B07GWT52HM,ZenLife Cutting Board Set — BPA-Free & Easy Clean,CLT2,2,0,4,2,5,14,2026-06-06
2026-08-01,SKU-0022,B0SFWKQDD5,Nordic Home Plant Pots — Non-Stick Coating & BPA-Free,CLT2,2,0,9,1,5,42,2026-05-25
2026-08-01,SKU-0023,B0UFTNZLYW,UrbanKitchen Non-Stick Pan Set — Dishwasher Safe & Space Saving,PHX7,0,0,9,0,5,28,2026-05-11
2026-08-01,SKU-0024,B0M9299AJ4,ZenLife Electric Kettle — Non-Stick Coating & Space Saving,PHX7,4,0,3,0,5,21,2026-07-19
2026-08-01,SKU-0025,B0WKPVSC0B,Nordic Home Tea Infuser — Non-Stick Coating & Dishwasher Safe,DFW6,1,0,7,0,5,21,2026-06-12
2026-08-01,SKU-0026,B0GDNTQUXZ,UrbanKitchen Toaster — Space Saving & Premium Finish,MEM1,3,0,0,0,10,35,2026-07-26
2026-08-01,SKU-0027,B07BRCRU82,ZenLife Kitchen Scale — Easy Clean & Dishwasher Safe,PHX7,3,0,9,2,5,42,2026-05-25
2026-08-01,SKU-0028,B0054NK7PS,Nordic Home Food Storage Containers — BPA-Free & Non-Stick Coating,LGB8,1,0,0,1,10,28,2026-07-26
2026-08-01,SKU-0029,B0WCY6LU8P,UrbanKitchen Wall Clock — Easy Clean & Dishwasher Safe,DFW6,2,0,7,0,5,28,2026-07-20
2026-08-01,SKU-0030,B00EGECWF5,ZenLife Laundry Hamper — Dishwasher Safe & Premium Finish,MEM1,6,0,0,0,5,35,2026-06-27
2026-08-01,SKU-0031,B0A8X9FRKN,Nordic Home Coffee Grinder — BPA-Free & Premium Finish,ONT8,2,0,5,0,5,35,2026-07-04
2026-08-01,SKU-0032,B0JH68DJ8G,UrbanKitchen Blender — Non-Stick Coating & Space Saving,DFW6,2,0,4,0,5,14,2026-06-19
2026-08-01,SKU-0033,B0ERBP9846,ZenLife Throw Blanket — BPA-Free & Non-Stick Coating,PHX7,2,0,7,1,5,28,2026-07-02
2026-08-01,SKU-0034,B0936760J9,Nordic Home Shower Caddy — Easy Clean & Non-Stick Coating,ONT8,3,0,9,0,5,14,2026-05-29
