order_id,order_item_id,asin,sku,product_title,quantity,item_price,item_promotion_discount,item_total,currency
114-9202607-5595236,1,B0F635F86R,SKU-0097,PawPals Dog Chew Toys — Durable & Easy to Clean,2,21.36,0.0,42.72,USD
114-5755437-5686347,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,1,109.5,0.0,109.5,USD
114-5755437-5686347,2,B0SQ7F7BFE,SKU-0057,TrailBlaze Dumbbell Set — Waterproof & Portable,1,46.37,0.0,46.37,USD
114-3239535-1287658,1,B0M1WJMA8T,SKU-0085,WriteWell Planner Notebook — Ergonomic & Multipurpose,1,8.44,0.0,8.44,USD
114-3239535-1287658,2,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,1,75.67,0.0,75.67,USD
114-2056423-2797161,1,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,1,21.66,0.0,21.66,USD
114-2056423-2797161,2,B09V1N9TED,SKU-0077,KiddoCraft Puzzle Set — Non-Toxic & STEM Learning,1,29.15,0.0,29.15,USD
114-8041836-6726001,1,B0F635F86R,SKU-0097,PawPals Dog Chew Toys — Durable & Easy to Clean,1,21.36,0.0,21.36,USD
114-6987578-2612121,1,B04Z7XKKST,SKU-0105,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,1,54.16,0.0,54.16,USD
114-2279569-2731281,1,B0FKKPVMZA,SKU-0065,TrailBlaze Foam Roller — Heavy Duty & Anti-Slip,1,52.95,0.0,52.95,USD
114-4599278-4665326,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,1,88.7,0.0,88.7,USD
114-4599278-4665326,2,B0JH68DJ8G,SKU-0032,UrbanKitchen Blender — Non-Stick Coating & Space Saving,1,26.96,0.0,26.96,USD
114-5046832-1741058,1,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,1,34.22,0.0,34.22,USD
114-5046832-1741058,2,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,1,55.67,0.0,55.67,USD
114-1001558-8165644,1,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,4,107.91,0.0,431.64,USD
114-1001558-8165644,2,B0R7U9K93R,SKU-0094,PawPals Pet Carrier — Non-Toxic & Durable,1,23.08,0.0,23.08,USD
114-4507628-4315927,1,B088K2QTZJ,SKU-0007,AuroraTech Car Mount — Bluetooth 5.3 & RGB Backlit,1,52.27,0.0,52.27,USD
114-8244779-3582508,1,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,1,107.91,0.0,107.91,USD
114-2228310-3579324,1,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,1,11.7,0.0,11.7,USD
114-8601004-3640686,1,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,2,107.91,0.0,215.82,USD
114-1336009-4292858,1,B0EGZYNSAE,SKU-0106,LittleNest Baby Bath Tub — Hypoallergenic & Safety Certified,1,25.43,0.0,25.43,USD
