return_id,order_id,order_item_id,asin,sku,product_title,return_request_date,return_reason,return_status,refund_amount,currency
RET-000001,114-7980239-8748475,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-12-26,Wrong item sent,Refunded,51.35,USD
RET-000002,114-3760251-5920470,1,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,2025-02-02,Defective,Refunded,40.21,USD
RET-000003,114-7653465-5050622,6,B0Q85PD1G6,SKU-0018,EverPeak Power Bank — 30H Battery Life & Noise Cancelling,2025-09-01,Inaccurate website description,Processing,12.17,USD
RET-000004,114-7816044-3421205,2,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,2025-12-11,Defective,Refunded,55.67,USD
RET-000005,114-5903912-2854303,1,B0GUBJ397E,SKU-0059,TrailBlaze Yoga Mat — Portable & Lightweight,2025-02-13,No longer needed,Refunded,126.0,USD
RET-000006,114-4601629-5527803,1,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,2025-03-18,Inaccurate website description,Refunded,17.13,USD
RET-000007,114-3990767-3165349,2,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,2025-03-14,Defective,Refunded,19.86,USD
RET-000008,114-7469859-1682526,1,B0FTQRA6A1,SKU-0109,DriveGuard Dash Cam — Heavy Duty & Easy Install,2025-02-22,Missing parts or accessories,Refunded,123.72,USD
RET-000009,114-5770818-9720948,4,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,2025-03-26,Not as described,Refunded,13.2,USD
RET-000010,114-8789111-7637791,1,B0JH68DJ8G,SKU-0032,UrbanKitchen Blender — Non-Stick Coating & Space Saving,2025-05-10,Damaged during shipping,Refunded,26.96,USD
RET-000011,114-4180902-3495920,2,B00EGECWF5,SKU-0030,ZenLife Laundry Hamper — Dishwasher Safe & Premium Finish,2026-01-05,Not as described,Processing,40.29,USD
RET-000012,114-4538150-2964885,1,B0CWALEK2Y,SKU-0036,ZenLife Air Fryer — Dishwasher Safe & Non-Stick Coating,2025-10-20,Not as described,Refunded,10.11,USD
RET-000013,114-7320713-5696796,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2026-01-17,Defective,Refunded,51.35,USD
RET-000014,114-8649557-1479843,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2026-04-27,Damaged during shipping,Refunded,109.5,USD
RET-000015,114-8457880-6554087,1,B0NKTX370W,SKU-0051,PureGlo Shampoo & Conditioner — Gentle Formula & Ionic Technology,2026-03-15,Defective,Refunded,12.23,USD
RET-000016,114-6968141-9704181,1,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,2026-03-28,Defective,Refunded,34.22,USD
RET-000017,114-7001447-8382749,3,B02LTJA2NA,SKU-0078,CloudNest Dollhouse — Ages 3+ & Interactive,2026-01-20,Wrong item sent,Refunded,41.1,USD
RET-000018,114-7806348-7010895,1,B0A8X9FRKN,SKU-0031,Nordic Home Coffee Grinder — BPA-Free & Premium Finish,2025-08-01,No longer needed,Refunded,163.11,USD
RET-000019,114-7123271-4147796,1,B0J4AJH5Y5,SKU-0084,ProGrip Monitor Stand — Space Saving & Multipurpose,2025-05-08,Better price available,Refunded,44.05,USD
